2018,IASA(M),FMF(M),ITC(M),IASA(F),FMF(F),ITC(F)
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,1,
160,,,,,1,
161,,,,,1,
162,,,,,2,
163,,,,,1,
164,,,,1,1,
165,,,,2,1,2
166,,,,,,
167,,,,,1,
168,,,,2,,1
169,,1,,,,
170,,,,2,2,
171,,,,,1,
172,,,,1,2,
173,1,,1,1,,2
174,,,2,1,,
175,,,1,,,
176,2,,,,,
177,1,,,1,,
178,1,1,2,,2,
179,,,1,,,
180,1,,,,,
181,2,1,,,,
182,3,,,,,
183,2,,4,,,
184,,,,,,
185,1,,,,,
186,,,,,,
187,1,,1,,,
188,,,,,,
189,2,,1,,,
190,2,,,,,
191,,,1,,,
192,1,,1,,,
193,,,,,,
194,,,1,,,
195,1,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
Total,21,3,16,11,16,5
